"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('16', 12, 13, 1000)","('1', 13, 14, 1000)",7
"('16', 13, 14, 1000)","('1', 6, 7, 1000)",7
"('16', 14, 15, 1000)","('8', 0, 1, 1000)",7
"('16', 15, 16, 1000)","('8', 0, 1, 1000)",7
"('16', 16, 17, 1000)","('8', 0, 1, 1000)",7
"('16', 17, 18, 1000)","('16', 1, 2, 1000)",7
"('16', 18, 19, 1000)","('8', 0, 1, 1000)",7
"('16', 21, 22, 1000)","('8', 0, 1, 1000)",7
"('16', 23, 24, 1000)","('16', 1, 2, 1000)",7
"('16', 24, 25, 1000)","('16', 1, 2, 1000)",7
"('16', 25, 26, 1000)","('8', 0, 1, 1000)",7
"('16', 26, 27, 1000)","('8', 0, 1, 1000)",7
"('16', 27, 28, 1000)","('16', 1, 2, 1000)",7
"('16', 28, 29, 1000)","('1', 13, 14, 1000)",7
"('16', 29, 30, 1000)","('8', 0, 1, 1000)",7
"('16', 30, 31, 1000)","('1', 13, 14, 1000)",7
"('16', 31, 32, 1000)","('16', 1, 2, 1000)",7
"('16', 32, 33, 1000)","('8', 17, 18, 1000)",7
"('16', 33, 34, 1000)","('3', 1, 2, 1000)",8
"('16', 34, 35, 1000)","('8', 6, 7, 1000)",11
"('16', 35, 36, 1000)","('1', 13, 14, 1000)",12
"('16', 36, 37, 1000)","('8', 0, 1, 1000)",12
"('16', 38, 39, 1000)","('16', 6, 7, 1000)",12
"('16', 39, 40, 1000)","('16', 8, 9, 1000)",14
"('16', 40, 41, 1000)","('16', 5, 6, 1000)",14
"('16', 41, 42, 1000)","('16', 1, 2, 1000)",14
"('16', 42, 43, 1000)","('16', 4, 5, 1000)",14
"('16', 43, 44, 1000)","('16', 1, 2, 1000)",14
